actor_episodes,actor_loss,actor_steps,binary_accuracy,categorical_accuracy,critic_loss,entropy_mean,evaluator_episodes,evaluator_steps,learner_steps,learner_walltime,logits_neg,logits_pos,logsumexp,steps_per_second
10677,10.088314,1601550,0.9972389,0.7822876,0.8776152,-8.229471,2719,407850,24860,1306.7491035461426,-78.830574,-0.8619031,2.372997,1774.1699118319652
10760,10.08012,1614000,0.9972191,0.7860718,0.8739773,-15.517908,2739,410850,25046,1316.8298223018646,-85.70826,-0.85959053,2.4920044,369.11840755520234
10844,9.477072,1626600,0.9972868,0.78692627,0.8436736,-18.83405,2761,414150,25238,1326.8838937282562,-80.4187,-0.7952242,2.391791,315.9666324924756
10926,10.833584,1638900,0.9972329,0.77838135,0.90725636,-14.841608,2782,417300,25430,1336.913247346878,-76.08571,-0.85635734,2.490103,466.23856659261793
11004,9.466327,1650600,0.9971111,0.7338867,1.0893486,-20.36121,2800,420000,25623,1346.933373451233,-58.971096,-1.0284822,2.7287364,1561.1795468292003
11081,10.72426,1662150,0.9971707,0.7545166,0.9945653,-19.219252,2820,423000,25813,1356.9639208316803,-75.35061,-0.9733506,2.253602,1679.3589750006256
11166,10.624888,1674900,0.9972887,0.7940674,0.8598537,-18.265514,2843,426450,26004,1366.9923286437988,-72.25252,-0.8572453,2.2173476,2191.631880602864
11252,10.6576805,1687800,0.9973357,0.79125977,0.86829144,-22.041615,2864,429600,26194,1377.161320924759,-71.935234,-0.8261176,2.7392492,344.22657478245037
11334,11.665397,1700100,0.9972789,0.7873535,0.849236,-15.745897,2886,432900,26384,1387.1880073547363,-66.96555,-0.79511285,2.4074373,1820.6296484695574
11412,11.134558,1711800,0.99725986,0.7723999,0.92914736,-18.38933,2904,435600,26571,1397.1947464942932,-58.978336,-0.9297201,2.2696345,2727.891711719036
11490,9.861032,1723500,0.9973016,0.7835083,0.86747634,-15.805265,2925,438750,26760,1407.201813697815,-65.041595,-0.8193662,2.2390935,2318.455856696205
11573,10.075325,1735950,0.99710274,0.73394775,1.0992708,-20.455322,2946,441900,26953,1417.2272000312805,-54.268883,-1.0664092,1.9686575,1770.7408291830207
11656,9.695132,1748400,0.99724245,0.77093506,0.94888556,-18.001518,2968,445200,27141,1427.2407982349396,-61.49923,-0.9307993,2.3577154,2316.0154610712316
11732,9.052843,1759800,0.9971111,0.7420654,1.0817986,-18.29142,2985,447750,27331,1437.4435710906982,-50.94325,-1.0263145,2.6189976,298.65850174231537
11812,9.940818,1771800,0.9971547,0.756958,1.0265677,-19.61988,3007,451050,27521,1447.6610536575317,-52.26949,-0.9976183,2.439056,290.19798315257816
11895,10.015655,1784250,0.9971428,0.75213623,1.0467983,-21.59829,3027,454050,27711,1457.7298312187195,-52.177124,-1.0209715,2.619753,542.4352124088904
11976,9.106705,1796400,0.99717,0.74316406,1.060421,-24.237053,3050,457500,27898,1467.7559139728546,-45.497242,-1.0308418,2.093533,2012.3201295391166
12058,9.53595,1808700,0.9970734,0.73950195,1.0491387,-23.995373,3070,460500,28081,1477.8515498638153,-47.428795,-1.0441837,2.383092,270.15526441325477
12134,8.114876,1820100,0.9970963,0.7252197,1.1718016,-25.451374,3089,463350,28257,1487.8836483955383,-41.88537,-1.1683631,2.3472521,490.13909055054853
12204,7.781364,1830600,0.99703884,0.7006836,1.2648654,-23.032959,3107,466050,28432,1497.909110069275,-38.385635,-1.2332783,1.6851058,1902.057380127401
12285,9.045904,1842750,0.9971945,0.73358154,1.132777,-23.530087,3128,469200,28614,1507.9260659217834,-42.210686,-1.1006697,2.3380964,1985.1022813828804
12187,6.196389,1828050,0.99590707,0.14019775,4.2275834,-28.363852,3103,465450,28188,1483.6276924610138,-9.650317,-4.0560017,1.0139763,0.0
12529,12.901728,1879350,0.9942527,0.15618896,3.9090228,-21.885,3190,478500,28800,1518.6676626205444,-23.892277,-3.7743256,15.772179,0.0
12819,7.462368,1922850,0.99479747,0.123413086,4.0761724,-24.982628,3264,489600,29297,1547.202665090561,-13.744929,-3.7540307,4.6423345,0.0
12891,10.58042,1933650,0.99588704,0.368042,2.3258429,-9.5071945,3281,492150,29465,1557.3333268165588,-23.366005,-2.327672,1.6624317,250.57848166136608
12974,12.543171,1946100,0.99598217,0.432312,2.1025405,-4.0105486,3302,495300,29654,1567.3495712280273,-28.176884,-2.0296164,2.0507522,1666.410836447612
13050,11.722219,1957500,0.99612784,0.43414307,2.2102134,1.0614789,3320,498000,29831,1577.3883147239685,-25.643478,-2.1761038,2.1980762,492.6605404234779
13123,10.905578,1968450,0.99615026,0.46142578,2.1675801,-1.8466763,3340,501000,30007,1587.4514207839966,-24.426228,-2.1220784,3.4689279,554.445732839548
13203,10.016978,1980450,0.9961617,0.44451904,2.2287686,-1.4862174,3359,503850,30194,1597.6448993682861,-22.6212,-2.188704,2.0253313,306.6253348274204
13284,11.199897,1992600,0.99625635,0.49334717,2.0634232,-3.1446757,3379,506850,30379,1607.7507905960083,-26.040737,-1.9651699,2.218836,400.3272824887404
13362,12.336224,2004300,0.9962778,0.47937012,2.114459,-2.5770602,3398,509700,30565,1617.7577369213104,-28.619371,-2.142604,1.9256351,1656.7737666874457
13435,11.644657,2015250,0.99638367,0.48406982,2.1192262,-3.7430282,3418,512700,30751,1627.7802298069,-27.61292,-2.122037,1.7998307,2058.6961983572487
13522,13.09901,2028300,0.9962597,0.4703369,2.0861032,3.9824944,3440,516000,30942,1637.9268128871918,-31.220533,-2.0049171,2.1786458,245.75272521534853
13602,10.731135,2040300,0.9963858,0.46923828,2.2150843,-0.065422535,3460,519000,31131,1647.950684785843,-26.121643,-2.2583134,1.9723225,2201.409371975922
13678,10.98579,2051700,0.9963043,0.48083496,2.1878185,1.8172743,3478,521700,31321,1657.9652428627014,-27.447918,-2.1314378,1.9978402,1854.976166290054
13761,10.821922,2064150,0.9962268,0.44921875,2.342877,-3.6491427,3500,525000,31507,1668.0859134197235,-27.022514,-2.292866,2.2384837,310.275484539133
13845,10.39879,2076750,0.9963362,0.47418213,2.2361205,-2.1052325,3520,528000,31699,1678.2482507228851,-26.222628,-2.1689398,2.1304069,272.1925294844742
13926,10.05611,2088900,0.9962766,0.44476318,2.3704078,0.35396624,3541,531150,31889,1688.2589449882507,-25.979492,-2.3579023,1.8728358,1971.485219486042
14004,11.288859,2100600,0.99632645,0.4630127,2.2992797,3.310451,3560,534000,32076,1698.3740196228027,-28.622349,-2.2915993,2.2094526,284.01480406201796
14088,10.245564,2113200,0.9963429,0.45690918,2.3705814,2.6499233,3582,537300,32268,1708.4290537834167,-27.230783,-2.3985178,1.7363582,563.2584435640905
