actor_episodes,actor_steps,delta_dist,delta_dist_10,delta_dist_100,delta_dist_1000,episode_length,episode_return,final_dist,final_dist_10,final_dist_100,final_dist_1000,init_dist,init_dist_10,init_dist_100,init_dist_1000,min_dist,min_dist_10,min_dist_100,min_dist_1000,steps_per_second,success,success_1000
8035,1205250,0.33022493,0.27388072,0.2784163,0.26534364,150,0.0,0.36069602,0.41318923,0.40314448,0.41612273,0.69092095,0.68707,0.68156075,0.68146634,0.2856216,0.32408723,0.25506562,0.2806327,313.0373517894726,0.0,0.0
8121,1218150,0.39939532,0.35785875,0.3205633,0.2741163,150,0.0,0.281822,0.3202777,0.36011803,0.40687597,0.6812173,0.67813647,0.6806814,0.68099225,0.24839482,0.21446228,0.23012882,0.26964238,329.3250816971654,0.0,0.0
8202,1230300,0.42832094,0.32763714,0.33457446,0.28298205,150,0.0,0.23790872,0.34656578,0.3456723,0.39787647,0.66622967,0.6742029,0.6802467,0.68085855,0.21858744,0.22622776,0.2314951,0.25987154,303.2987312127261,0.0,0.0
8286,1242900,0.47961235,0.29056007,0.27585742,0.2865972,150,0.0,0.22561868,0.39126077,0.40685624,0.3941707,0.705231,0.6818208,0.6827136,0.68076795,0.22541839,0.29557186,0.26749703,0.25412342,271.9856888226783,0.0,0.0
8371,1255650,0.42725053,0.24001607,0.24429718,0.29036653,150,0.0,0.24926302,0.43433458,0.43672177,0.39035186,0.67651355,0.6743506,0.68101907,0.68071836,0.2485619,0.23313877,0.26360804,0.25022295,305.22794134769885,0.0,0.0
8455,1268250,0.3726902,0.30970165,0.30526716,0.29413995,150,0.0,0.29548383,0.36890325,0.3762459,0.38688672,0.668174,0.6786049,0.6815129,0.68102676,0.2102582,0.23211364,0.24485677,0.24912597,304.39460538252195,0.0,0.0
8534,1280100,0.4048245,0.34006453,0.30109355,0.29296866,150,0.0,0.31125855,0.3407014,0.37969017,0.38815936,0.71608305,0.680766,0.6807837,0.681128,0.23398027,0.23387651,0.2586914,0.25276938,322.4667869443989,0.0,0.0
8616,1292400,0.21211499,0.24872541,0.24354002,0.2896392,150,0.0,0.45366347,0.42091164,0.4367519,0.3913391,0.66577846,0.6696371,0.6802919,0.6809783,0.45157668,0.24898908,0.2609903,0.25360218,303.85037600630164,0.0,0.0
8696,1304400,0.14198625,0.08403382,0.120536305,0.27486843,150,0.0,0.52334726,0.60245574,0.5595744,0.4059013,0.6653335,0.6864897,0.68011075,0.6807698,0.39750132,0.44123966,0.37604374,0.2637995,317.5979201898079,0.0,0.0
8784,1317600,0.119550705,0.24282451,0.123190135,0.25807822,150,0.0,0.536113,0.44101745,0.5624622,0.4232094,0.6556637,0.68384194,0.6856523,0.6812876,0.31848377,0.39472455,0.3969635,0.27659222,310.3977944655412,0.0,0.0
