actor_episodes,actor_steps,delta_dist,episode_length,episode_return,evaluator_episodes,evaluator_steps,final_dist,init_dist,min_dist,steps_per_second,success,success_1000
497,74550,0.021746278,150,0.0,127,19050,0.6949004,0.7166467,0.39011642,296.6444965613233,0.0,0.0
509,76350,-0.08936113,150,0.0,130,19500,0.7447028,0.6553417,0.6553417,362.9841818216435,0.0,0.0
518,77700,-0.118891895,150,0.0,133,19950,0.77458024,0.65568835,0.65568835,316.0269982323662,0.0,0.0
527,79050,-0.1622662,150,0.0,136,20400,0.81803393,0.65576774,0.34335813,305.4718763868078,0.0,0.0
539,80850,-0.17414737,150,0.0,139,20850,0.8398842,0.66573685,0.66573685,340.40254512400986,0.0,0.0
551,82650,0.21568003,150,0.0,142,21300,0.45934096,0.675021,0.43387824,326.17331710966374,0.0,0.0
563,84450,-0.16942191,150,0.0,145,21750,0.82336956,0.65394765,0.65394765,330.41660670826815,0.0,0.0
577,86550,0.15205246,150,0.0,148,22200,0.53245425,0.6845067,0.38231805,318.654606177835,0.0,0.0
589,88350,0.13154215,150,0.0,151,22650,0.5543813,0.68592346,0.38546988,326.67547292076864,0.0,0.0
601,90150,-0.015140057,150,0.0,154,23100,0.69812775,0.6829877,0.38381687,317.7600926089137,0.0,0.0
613,91950,-0.1627695,150,0.0,157,23550,0.8298852,0.6671157,0.37072712,308.76326479131893,0.0,0.0
625,93750,-0.16697294,150,0.0,160,24000,0.8227665,0.65579355,0.65579355,326.6200159793919,0.0,0.0
637,95550,-0.055787683,150,0.0,163,24450,0.761625,0.7058373,0.41927195,295.1217670184636,0.0,0.0
649,97350,-0.05551237,150,0.0,166,24900,0.7630231,0.7075107,0.42179763,296.2461259126648,0.0,0.0
661,99150,0.08482319,150,0.0,169,25350,0.5822836,0.6671068,0.39136508,358.36581992668016,0.0,0.0
673,100950,-0.055919647,150,0.0,172,25800,0.75995964,0.70404,0.41626808,323.2931477200261,0.0,0.0
685,102750,0.041285157,150,0.0,175,26250,0.6549068,0.69619197,0.45583665,302.5468646759939,0.0,0.0
697,104550,0.06071019,150,0.0,178,26700,0.6180935,0.6788037,0.4285658,325.51448100734024,0.0,0.0
709,106350,0.07736158,150,0.0,181,27150,0.5916045,0.66896605,0.41182548,340.688258451608,0.0,0.0
721,108150,0.07167667,150,0.0,184,27600,0.6077332,0.67940986,0.44110975,328.36443461840776,0.0,0.0
733,109950,0.06242603,150,0.0,187,28050,0.6319734,0.6943994,0.44496176,329.517575353809,0.0,0.0
745,111750,0.08215487,150,0.0,190,28500,0.5952041,0.677359,0.42655882,402.1903754911149,0.0,0.0
757,113550,0.08475554,150,0.0,193,28950,0.57649225,0.6612478,0.5679498,347.5232134867458,0.0,0.0
769,115350,0.08220607,150,0.0,196,29400,0.59944445,0.6816505,0.43318695,344.3403331173267,0.0,0.0
781,117150,0.07778412,150,0.0,199,29850,0.5812179,0.659002,0.5666803,361.4813282657221,0.0,0.0
793,118950,-0.12118131,150,0.0,202,30300,0.81076026,0.68957895,0.44319275,290.9863217203163,0.0,0.0
805,120750,0.08284974,150,0.0,205,30750,0.5885729,0.67142266,0.45181692,349.62983380588196,0.0,0.0
817,122550,-0.16917652,150,0.0,208,31200,0.8647712,0.69559467,0.40186143,363.6368680598423,0.0,0.0
829,124350,-0.05327058,150,0.0,211,31650,0.76161146,0.7083409,0.42231527,334.42226641173534,0.0,0.0
841,126150,-0.16632652,150,0.0,214,32100,0.83174145,0.6654149,0.6654149,346.41777345115787,0.0,0.0
850,127500,-0.19173962,150,0.0,217,32550,0.8930863,0.7013467,0.7013467,342.0855429174503,0.0,0.0
862,129300,-0.1647864,150,0.0,220,33000,0.83693343,0.67214704,0.67214704,321.30625452290934,0.0,0.0
874,131100,0.07696438,150,0.0,223,33450,0.581053,0.6580174,0.57200533,336.5381395620026,0.0,0.0
886,132900,-0.16247743,150,0.0,226,33900,0.83741546,0.674938,0.674938,310.6190849768719,0.0,0.0
898,134700,-0.16366869,150,0.0,229,34350,0.84772545,0.68405676,0.68405676,334.2797619458762,0.0,0.0
910,136500,-0.108695805,150,0.0,232,34800,0.82179767,0.71310186,0.71102184,375.529723551128,0.0,0.0
919,137850,-0.08284646,150,0.0,235,35250,0.78637284,0.7035264,0.58393604,360.78958505610154,0.0,0.0
931,139650,0.18088263,150,0.0,238,35700,0.4747525,0.6556351,0.2582572,347.3936870701722,0.0,0.0
943,141450,0.123321,150,0.0,241,36150,0.55188173,0.6752027,0.50843036,324.35017381455276,0.0,0.0
